RainTomorrow,MaxTemp,Humidity3pm
No,39.8,32.0
No,13.7,68.0
No,25.0,33.0
No,20.4,46.0
No,29.0,19.0
No,38.7,14.0
No,29.4,26.0
No,26.2,29.0
No,20.2,60.0
No,18.2,72.0
No,20.2,27.0
No,14.1,48.0
No,18.3,71.0
No,30.3,43.0
No,21.8,68.0
Yes,32.4,93.0
Yes,23.1,77.0
No,27.4,28.0
No,31.3,63.0
No,32.2,56.0
No,19.6,40.0
No,16.0,43.0
Yes,23.8,77.0
No,23.7,50.0
No,14.5,70.0
No,17.1,52.0
No,19.4,27.0
Yes,15.9,88.0
No,17.8,49.0
Yes,22.2,57.0
No,25.6,40.0
No,22.0,46.0
No,14.7,44.0
Yes,27.9,29.0
No,18.3,48.0
No,26.7,55.0
No,20.1,29.0
No,17.5,62.0
No,16.1,59.0
No,15.1,49.0
Yes,30.2,70.0
Yes,28.3,49.0
No,12.8,65.0
No,15.9,38.0
No,35.7,14.0
No,30.4,19.0
Yes,33.5,30.0
No,30.2,36.0
No,28.2,28.0
No,31.2,58.0
No,21.8,74.0
No,17.3,46.0
No,23.4,44.0
No,19.2,33.0
No,21.5,60.0
No,23.9,27.0
No,32.8,27.0
No,33.1,84.0
No,23.0,60.0
No,33.5,9.0
No,22.0,42.0
No,27.9,61.0
No,39.1,17.0
Yes,22.9,86.0
No,23.8,33.0
Yes,19.1,97.0
No,23.2,60.0
No,25.6,16.0
No,15.5,46.0
No,27.2,56.0
Yes,18.3,72.0
No,19.1,42.0
No,36.5,12.0
Yes,22.6,72.0
Yes,19.0,59.0
No,30.5,13.0
No,23.3,29.0
No,15.5,65.0
No,29.8,78.0
No,25.1,65.0
No,34.7,19.0
No,20.9,32.0
Yes,20.5,73.0
No,25.2,65.0
No,26.5,84.0
No,26.9,23.0
Yes,25.8,99.0
No,30.2,25.0
No,24.6,38.0
No,31.4,85.0
No,15.2,57.0
Yes,29.4,63.0
No,16.8,78.0
No,35.3,12.0
No,24.0,45.0
No,34.6,20.0
No,25.4,32.0
No,22.8,78.0
Yes,13.3,68.0
No,33.4,36.0
Yes,22.9,60.0
No,21.4,95.0
Yes,18.4,86.0
Yes,27.8,15.0
No,26.7,27.0
No,20.8,43.0
No,10.5,58.0
Yes,16.0,90.0
No,18.8,68.0
No,18.8,49.0
No,28.0,27.0
No,18.1,33.0
Yes,20.5,71.0
No,21.4,46.0
Yes,21.3,94.0
No,16.5,65.0
No,20.9,67.0
No,21.4,39.0
No,19.6,63.0
No,15.5,59.0
No,37.7,11.0
No,17.3,55.0
No,28.1,29.0
Yes,13.7,80.0
No,21.7,36.0
No,34.2,20.0
No,29.4,57.0
No,26.0,48.0
Yes,22.2,97.0
No,29.1,51.0
No,34.8,26.0
No,32.5,33.0
Yes,24.3,78.0
No,26.4,53.0
No,31.7,18.0
Yes,25.2,83.0
No,20.6,62.0
No,20.8,21.0
No,22.0,30.0
No,30.8,48.0
No,18.0,85.0
No,28.7,22.0
No,23.3,64.0
No,20.7,66.0
No,25.9,19.0
Yes,12.2,42.0
No,19.6,58.0
No,24.3,55.0
No,22.5,66.0
No,30.0,20.0
No,29.0,24.0
No,16.1,53.0
No,17.1,62.0
No,34.0,38.0
No,28.4,56.0
No,12.4,76.0
No,14.7,49.0
No,24.4,53.0
Yes,33.2,58.0
No,19.5,63.0
No,22.5,59.0
Yes,19.6,47.0
No,14.1,68.0
Yes,23.2,64.0
No,29.8,83.0
Yes,21.9,64.0
No,22.9,67.0
Yes,21.7,54.0
No,18.0,58.0
Yes,13.8,60.0
No,30.4,31.0
No,17.4,53.0
No,16.1,56.0
No,23.6,44.0
No,28.4,57.0
No,22.1,24.0
No,31.4,61.0
No,22.5,51.0
Yes,19.0,57.0
No,25.8,28.0
No,17.4,42.0
No,16.3,55.0
No,30.2,14.0
No,18.4,43.0
No,17.4,66.0
No,21.0,54.0
Yes,13.1,91.0
No,28.3,52.0
No,27.2,50.0
Yes,24.1,83.0
No,22.4,60.0
No,34.0,9.0
Yes,30.7,69.0
No,31.5,26.0
No,39.7,29.0
No,35.2,14.0
Yes,24.5,47.0
No,26.7,23.0
Yes,17.5,81.0
No,25.3,32.0
Yes,17.9,75.0
No,20.5,51.0
No,15.3,47.0
No,24.1,69.0
No,18.6,49.0
No,25.5,64.0
No,24.0,70.0
No,29.8,42.0
Yes,25.2,44.0
No,13.5,63.0
No,20.2,64.0
No,12.9,53.0
No,36.2,9.0
No,34.0,35.0
Yes,25.8,63.0
No,17.6,62.0
No,25.2,39.0
No,28.3,13.0
No,16.1,62.0
No,19.1,28.0
Yes,22.8,91.0
No,22.0,41.0
No,19.9,40.0
No,27.7,25.0
Yes,21.8,86.0
No,20.2,48.0
Yes,22.7,63.0
No,28.1,55.0
No,25.1,27.0
No,19.3,53.0
No,24.7,77.0
Yes,14.1,76.0
No,12.3,38.0
Yes,14.4,86.0
No,17.0,47.0
Yes,15.6,72.0
No,27.9,43.0
No,24.9,25.0
No,14.0,65.0
No,20.0,65.0
Yes,12.5,71.0
No,13.4,60.0
No,23.3,39.0
No,31.7,65.0
No,14.8,55.0
Yes,17.0,45.0
Yes,16.9,77.0
No,26.5,56.0
Yes,12.9,95.0
No,29.8,61.0
No,23.3,25.0
Yes,23.4,88.0
No,35.3,24.0
No,13.9,61.0
No,23.4,46.0
No,22.5,52.0
No,30.4,30.0
No,18.7,51.0
Yes,29.8,57.0
No,20.4,64.0
No,19.9,53.0
Yes,19.8,54.0
No,20.2,61.0
No,25.6,48.0
No,19.8,28.0
No,34.3,57.0
No,22.0,44.0
No,16.8,50.0
No,16.3,26.0
No,32.0,57.0
Yes,31.9,69.0
No,34.6,11.0
No,28.5,63.0
No,31.9,67.0
No,23.6,57.0
No,22.3,41.0
No,24.1,39.0
No,33.4,32.0
No,22.0,55.0
No,26.5,65.0
No,18.8,82.0
No,26.9,22.0
Yes,15.6,99.0
Yes,22.3,87.0
No,26.8,31.0
No,33.1,62.0
No,23.5,54.0
No,13.0,76.0
No,22.6,69.0
No,17.6,29.0
No,15.8,59.0
Yes,19.4,45.0
No,14.0,64.0
No,38.0,11.0
No,24.9,33.0
No,19.5,67.0
No,43.0,9.0
No,28.9,65.0
Yes,33.2,29.0
No,18.7,48.0
No,33.7,51.0
No,14.8,61.0
No,32.0,58.0
No,24.6,86.0
No,16.2,58.0
Yes,31.4,70.0
No,24.1,38.0
No,23.4,53.0
No,17.7,41.0
Yes,25.1,59.0
No,14.9,46.0
No,30.4,25.0
Yes,15.5,65.0
Yes,23.3,60.0
Yes,17.9,85.0
No,27.7,48.0
No,29.7,9.0
No,20.0,53.0
Yes,18.8,89.0
Yes,18.8,72.0
Yes,17.5,81.0
No,29.6,44.0
No,40.6,5.0
No,18.4,90.0
No,37.3,18.0
Yes,14.4,100.0
No,29.2,58.0
No,12.1,62.0
No,19.5,33.0
No,26.0,63.0
No,13.9,57.0
No,14.0,63.0
No,30.9,13.0
No,34.6,33.0
No,17.1,50.0
No,15.5,50.0
Yes,17.5,64.0
No,29.9,34.0
Yes,28.3,73.0
Yes,19.9,45.0
No,24.7,67.0
Yes,11.8,100.0
No,15.3,45.0
No,20.9,35.0
No,36.4,8.0
No,23.8,44.0
No,15.9,49.0
No,34.2,17.0
Yes,15.7,91.0
No,25.1,35.0
Yes,20.2,50.0
No,17.0,65.0
No,14.1,57.0
Yes,26.1,46.0
No,22.9,43.0
No,16.8,60.0
No,30.3,51.0
No,18.9,64.0
No,25.0,77.0
No,26.8,46.0
No,19.9,59.0
No,18.4,17.0
No,30.2,45.0
No,20.7,34.0
No,22.2,39.0
No,28.1,13.0
No,24.7,34.0
No,31.3,29.0
No,26.4,84.0
No,18.6,38.0
No,27.6,48.0
No,33.3,50.0
No,13.2,63.0
No,24.2,21.0
No,25.7,32.0
No,15.9,54.0
No,15.1,42.0
No,10.2,62.0
No,32.2,34.0
No,22.2,73.0
Yes,23.5,79.0
No,34.5,19.0
No,18.0,47.0
Yes,17.5,92.0
No,26.3,27.0
Yes,28.6,45.0
Yes,30.2,81.0
No,18.5,27.0
Yes,29.1,73.0
No,25.3,52.0
No,26.4,20.0
No,22.7,58.0
No,16.2,44.0
No,32.5,56.0
No,32.6,37.0
No,24.9,15.0
Yes,31.1,77.0
No,33.5,27.0
No,16.7,34.0
No,26.0,65.0
Yes,12.0,75.0
No,27.6,61.0
No,37.0,43.0
Yes,29.5,35.0
No,21.1,37.0
No,30.2,47.0
No,20.0,49.0
No,23.0,22.0
No,22.7,55.0
No,23.2,50.0
Yes,16.2,62.0
Yes,23.8,81.0
No,23.5,18.0
No,17.6,47.0
No,24.3,49.0
Yes,19.9,73.0
No,30.9,45.0
No,31.2,65.0
Yes,21.7,71.0
No,12.0,72.0
No,22.1,39.0
Yes,19.3,57.0
No,29.7,23.0
No,13.4,75.0
No,14.9,78.0
No,30.6,68.0
No,27.3,62.0
No,22.7,19.0
No,29.7,20.0
No,33.4,22.0
No,18.6,66.0
No,14.0,55.0
No,32.9,38.0
No,23.9,64.0
No,35.0,50.0
No,25.8,68.0
No,20.8,33.0
No,33.9,9.0
Yes,21.3,87.0
Yes,36.9,28.0
No,36.0,12.0
No,30.9,13.0
No,16.4,52.0
No,17.9,40.0
Yes,35.8,32.0
No,30.4,59.0
No,34.6,45.0
Yes,35.5,79.0
Yes,13.9,65.0
No,27.4,26.0
No,12.1,51.0
No,20.4,86.0
Yes,9.4,86.0
Yes,22.8,90.0
No,25.9,65.0
Yes,16.8,49.0
Yes,21.1,61.0
Yes,20.4,94.0
No,20.7,63.0
No,22.3,57.0
No,31.6,24.0
Yes,13.1,58.0
Yes,16.7,51.0
No,33.3,57.0
Yes,34.8,35.0
No,27.3,36.0
No,32.7,57.0
No,29.1,66.0
No,19.8,39.0
No,24.6,56.0
Yes,23.4,92.0
Yes,38.0,32.0
No,29.6,57.0
No,16.4,32.0
No,24.8,54.0
Yes,15.8,62.0
Yes,23.2,56.0
No,16.8,62.0
Yes,20.7,62.0
No,24.4,81.0
No,19.6,39.0
No,26.6,22.0
No,22.0,60.0
No,13.4,62.0
No,25.6,60.0
No,13.3,61.0
No,29.3,23.0
No,29.5,55.0
No,18.9,75.0
Yes,16.8,65.0
Yes,22.3,82.0
No,29.1,63.0
No,29.9,32.0
No,34.0,29.0
No,18.3,59.0
No,21.2,63.0
No,30.1,26.0
No,16.4,77.0
No,19.8,42.0
No,18.7,74.0
No,29.6,74.0
No,10.7,70.0
No,26.0,64.0
Yes,22.0,55.0
No,15.0,40.0
Yes,14.5,52.0
Yes,11.2,99.0
No,16.2,93.0
Yes,28.2,84.0
Yes,11.5,89.0
No,30.6,49.0
No,23.4,48.0
No,25.5,48.0
No,16.2,42.0
Yes,25.6,62.0
No,19.7,32.0
No,14.4,64.0
Yes,26.3,79.0
No,20.9,49.0
No,33.8,42.0
No,19.8,62.0
No,28.9,57.0
No,28.2,39.0
No,17.8,65.0
Yes,20.3,91.0
No,25.5,47.0
No,30.3,61.0
No,22.3,56.0
No,18.4,60.0
No,27.0,71.0
No,18.1,69.0
Yes,23.2,77.0
No,12.5,51.0
No,18.0,40.0
No,24.9,56.0
Yes,10.7,77.0
No,24.3,8.0
No,17.8,64.0
No,17.9,67.0
No,23.6,46.0
No,40.9,12.0
No,26.1,46.0
No,38.5,12.0
No,22.7,37.0
No,36.7,52.0
No,19.8,59.0
No,16.2,43.0
No,24.8,44.0
Yes,16.9,80.0
Yes,16.5,69.0
Yes,19.3,72.0
No,31.5,7.0
No,22.7,55.0
No,42.7,10.0
No,19.9,43.0
No,35.2,23.0
No,22.7,74.0
No,15.5,81.0
No,19.6,41.0
No,24.5,49.0
Yes,18.7,78.0
No,19.3,61.0
No,21.5,87.0
No,24.2,67.0
No,12.8,54.0
No,10.1,80.0
No,25.9,36.0
No,31.5,67.0
No,22.6,57.0
No,27.9,51.0
No,20.7,37.0
No,36.7,16.0
No,26.7,45.0
No,32.2,25.0
Yes,23.9,65.0
No,19.5,40.0
Yes,15.7,65.0
No,31.3,21.0
No,18.3,42.0
Yes,18.2,98.0
No,31.9,49.0
Yes,17.3,69.0
Yes,25.3,67.0
No,34.8,55.0
Yes,15.9,63.0
No,35.0,25.0
No,23.8,71.0
No,15.1,62.0
No,26.3,32.0
Yes,24.8,43.0
Yes,23.1,54.0
No,26.2,77.0
No,17.5,41.0
No,28.6,65.0
No,23.0,38.0
No,23.3,46.0
No,33.9,34.0
No,22.0,41.0
Yes,19.8,64.0
Yes,21.5,73.0
No,27.8,51.0
No,25.9,36.0
No,26.2,41.0
No,30.1,20.0
No,22.0,33.0
No,19.3,58.0
No,30.9,51.0
No,25.7,41.0
Yes,21.5,92.0
Yes,23.0,84.0
No,25.4,30.0
Yes,17.1,62.0
No,20.9,43.0
No,13.7,67.0
No,11.7,53.0
No,35.7,6.0
No,34.0,15.0
Yes,10.8,86.0
No,27.3,57.0
Yes,12.9,68.0
No,12.7,66.0
No,21.8,61.0
No,28.4,47.0
No,28.2,16.0
No,28.1,13.0
Yes,15.2,58.0
No,12.1,63.0
No,30.1,33.0
No,29.3,55.0
No,19.8,59.0
No,17.4,64.0
No,24.7,19.0
Yes,18.3,43.0
No,19.1,63.0
No,14.4,45.0
No,23.3,40.0
No,33.1,16.0
No,16.7,16.0
No,12.9,65.0
No,23.3,74.0
No,18.9,62.0
No,15.9,79.0
No,15.0,41.0
Yes,24.7,72.0
No,33.3,50.0
No,24.6,53.0
No,16.9,52.0
No,19.2,40.0
No,35.8,64.0
No,23.1,100.0
No,13.7,70.0
No,29.9,17.0
No,29.5,53.0
No,31.0,45.0
No,23.9,41.0
No,20.9,59.0
No,25.0,33.0
No,30.9,37.0
No,21.8,40.0
No,26.3,69.0
No,29.8,38.0
No,18.6,43.0
No,26.0,38.0
No,23.7,76.0
No,20.2,49.0
Yes,19.1,56.0
No,20.6,56.0
Yes,14.1,92.0
No,26.9,52.0
No,20.8,43.0
Yes,17.5,74.0
No,24.8,48.0
No,24.6,70.0
No,17.6,45.0
No,34.6,35.0
No,25.1,22.0
Yes,34.2,58.0
No,22.6,53.0
No,18.5,66.0
No,25.4,69.0
No,23.7,30.0
Yes,26.5,53.0
Yes,11.5,87.0
No,33.7,28.0
No,15.0,53.0
No,16.1,38.0
No,20.0,79.0
No,24.7,63.0
No,17.7,49.0
No,31.0,50.0
No,34.0,39.0
Yes,12.5,70.0
No,28.4,10.0
No,26.8,21.0
No,35.6,12.0
No,38.3,12.0
Yes,13.3,80.0
No,15.3,71.0
No,14.1,46.0
Yes,26.3,86.0
No,34.3,27.0
No,15.8,46.0
Yes,20.2,92.0
No,14.9,71.0
No,24.3,61.0
No,12.3,59.0
No,28.2,28.0
No,17.2,24.0
Yes,12.0,64.0
Yes,26.4,74.0
No,28.1,64.0
No,13.8,40.0
No,11.8,60.0
No,23.2,23.0
No,29.7,66.0
No,24.1,47.0
Yes,12.5,92.0
No,38.1,16.0
No,21.1,81.0
No,23.4,31.0
Yes,26.4,21.0
No,24.1,46.0
Yes,30.8,73.0
No,21.1,30.0
No,22.8,38.0
No,11.9,50.0
No,21.1,31.0
No,10.9,83.0
Yes,14.6,78.0
No,23.4,21.0
No,24.9,44.0
Yes,37.8,20.0
No,15.8,39.0
No,15.2,33.0
Yes,17.3,77.0
No,25.0,35.0
Yes,21.2,61.0
Yes,16.8,80.0
No,18.8,73.0
No,19.7,42.0
Yes,29.6,53.0
Yes,30.2,52.0
Yes,26.8,89.0
No,19.3,55.0
Yes,22.9,73.0
Yes,27.6,30.0
No,23.4,56.0
No,24.0,67.0
No,33.5,56.0
No,18.1,59.0
No,31.5,29.0
No,24.8,31.0
No,32.3,19.0
No,21.7,49.0
No,22.5,58.0
No,35.7,13.0
No,32.1,13.0
No,25.2,66.0
No,14.3,73.0
No,35.0,12.0
Yes,19.0,60.0
No,28.4,31.0
No,30.0,38.0
No,27.6,47.0
No,27.3,25.0
No,38.2,12.0
No,33.9,17.0
No,16.8,57.0
No,23.9,68.0
No,18.7,50.0
No,17.0,54.0
Yes,17.1,41.0
No,28.8,28.0
No,19.1,72.0
No,33.4,12.0
No,18.7,48.0
No,27.3,26.0
No,20.0,36.0
No,25.6,70.0
No,28.3,46.0
No,36.5,34.0
No,16.8,47.0
No,14.8,41.0
No,23.2,31.0
Yes,26.9,94.0
No,15.5,52.0
No,27.7,40.0
No,23.7,54.0
Yes,22.5,70.0
No,14.3,51.0
No,27.7,42.0
No,28.9,41.0
Yes,33.8,27.0
No,27.7,48.0
No,21.1,38.0
No,32.7,27.0
No,18.4,57.0
No,28.0,47.0
No,14.9,77.0
Yes,22.0,89.0
No,37.1,9.0
No,18.4,82.0
No,31.5,81.0
Yes,14.2,73.0
No,23.4,39.0
No,30.6,54.0
No,30.0,13.0
No,30.8,25.0
No,18.0,40.0
No,15.1,68.0
No,19.6,44.0
No,25.4,44.0
Yes,21.2,90.0
Yes,9.7,93.0
No,28.9,35.0
No,35.0,44.0
No,34.0,61.0
No,16.9,59.0
No,24.7,68.0
Yes,11.3,100.0
No,31.9,46.0
No,22.2,32.0
Yes,16.5,68.0
No,12.9,39.0
No,22.7,31.0
Yes,13.2,49.0
No,26.4,57.0
No,24.6,21.0
No,23.5,33.0
No,23.6,54.0
Yes,18.0,69.0
Yes,18.0,76.0
No,29.3,18.0
Yes,31.3,34.0
Yes,24.3,84.0
No,25.2,56.0
No,19.2,76.0
No,29.8,27.0
Yes,34.7,31.0
Yes,9.4,87.0
No,23.4,52.0
No,19.6,44.0
Yes,20.2,50.0
No,17.1,88.0
No,21.3,22.0
No,26.5,33.0
No,19.4,33.0
No,18.8,57.0
No,18.6,37.0
No,30.4,48.0
No,18.1,30.0
No,20.4,58.0
No,36.8,29.0
Yes,20.4,65.0
Yes,25.7,63.0
No,28.6,42.0
No,17.1,45.0
Yes,22.8,40.0
Yes,17.0,57.0
No,32.8,25.0
No,29.6,27.0
Yes,18.3,47.0
No,15.5,58.0
No,25.8,24.0
No,13.0,79.0
Yes,12.1,89.0
No,35.4,17.0
No,26.8,71.0
No,29.2,65.0
No,38.1,22.0
Yes,27.7,63.0
No,30.2,39.0
No,30.8,41.0
Yes,19.6,73.0
No,15.1,56.0
No,19.6,28.0
Yes,18.1,81.0
Yes,28.0,92.0
No,29.5,47.0
No,24.7,52.0
No,35.3,12.0
No,17.9,57.0
No,31.1,60.0
No,31.4,60.0
No,25.2,59.0
No,29.6,46.0
No,28.2,30.0
Yes,15.3,74.0
No,33.4,38.0
No,21.6,8.0
No,31.8,35.0
Yes,23.0,50.0
No,25.0,47.0
No,21.2,72.0
No,29.9,7.0
Yes,14.3,86.0
No,32.4,60.0
No,19.9,73.0
No,23.0,86.0
No,21.5,20.0
No,25.9,61.0
Yes,17.6,89.0
Yes,16.7,85.0
Yes,26.9,90.0
No,15.6,50.0
No,19.4,35.0
No,26.5,61.0
No,21.7,32.0
No,22.0,54.0
No,35.2,47.0
No,25.8,16.0
No,25.4,31.0
No,35.6,31.0
No,20.9,35.0
No,36.0,14.0
No,32.1,20.0
No,36.6,23.0
No,15.2,56.0
Yes,31.8,62.0
Yes,25.6,55.0
Yes,13.9,76.0
No,18.8,49.0
No,14.1,56.0
No,18.6,16.0
No,29.7,62.0
Yes,15.7,72.0
Yes,37.5,47.0
Yes,22.2,51.0
No,26.7,20.0
Yes,26.9,57.0
Yes,20.7,68.0
No,22.3,53.0
No,36.4,34.0
No,31.3,55.0
No,23.3,48.0
No,23.1,25.0
No,22.0,26.0
No,16.0,55.0
Yes,18.8,58.0
Yes,29.7,92.0
Yes,20.4,41.0
No,26.4,53.0
Yes,19.6,94.0
No,27.4,21.0
No,26.1,25.0
No,25.6,50.0
No,15.5,53.0
No,17.0,78.0
No,29.0,12.0
No,24.7,73.0
No,26.2,51.0
No,16.0,31.0
No,18.1,44.0
No,15.9,56.0
No,27.2,70.0
No,18.9,64.0
Yes,27.9,65.0
No,27.2,59.0
No,22.9,38.0
No,18.9,54.0
Yes,26.0,66.0
Yes,15.3,87.0
Yes,18.3,59.0
Yes,30.4,71.0
No,30.5,31.0
No,24.4,74.0
No,18.9,58.0
No,28.2,49.0
No,17.6,52.0
No,14.2,74.0
No,32.1,11.0
No,38.2,23.0
No,23.9,36.0
Yes,16.9,79.0
No,23.7,37.0
No,16.8,42.0
No,32.6,34.0
Yes,31.6,79.0
No,15.9,52.0
No,35.0,17.0
No,32.8,15.0
No,16.9,73.0
Yes,21.0,61.0
Yes,21.4,71.0
No,16.5,47.0
No,18.3,63.0
Yes,33.3,76.0
No,29.3,21.0
Yes,25.3,54.0
No,18.3,52.0
No,34.2,35.0
No,32.6,72.0
No,22.5,71.0
Yes,31.2,87.0
No,18.1,41.0
No,11.8,54.0
No,23.9,35.0
No,29.9,36.0
No,30.9,26.0
No,33.8,9.0
No,19.1,53.0
No,30.2,64.0
No,25.6,69.0
No,21.6,46.0
No,12.2,67.0
No,26.8,20.0
No,33.5,5.0
Yes,11.9,84.0
No,20.5,57.0
No,22.2,63.0
No,23.7,56.0
No,17.5,45.0
No,30.5,23.0
No,19.7,46.0
No,23.8,51.0
No,21.0,66.0
No,36.3,20.0
Yes,14.8,76.0
No,30.7,50.0
Yes,26.9,64.0
No,27.6,30.0
No,15.9,58.0
No,24.2,45.0
No,19.2,55.0
No,27.8,15.0
No,16.0,71.0
Yes,19.8,56.0
No,24.3,69.0
No,27.2,63.0
No,21.7,45.0
No,25.3,27.0
No,24.6,64.0
Yes,21.9,53.0
Yes,12.6,71.0
No,18.4,31.0
Yes,18.8,87.0
No,11.7,88.0
Yes,30.3,53.0
No,33.9,34.0
No,24.0,68.0
No,32.3,28.0
No,29.2,25.0
Yes,13.1,94.0
Yes,15.0,66.0
No,18.7,64.0
No,21.1,44.0
No,38.0,15.0
No,16.6,49.0
Yes,10.4,73.0
Yes,19.9,94.0
No,27.4,38.0
No,20.5,38.0
Yes,33.3,60.0
No,38.3,11.0
Yes,9.6,77.0
No,23.3,24.0
No,32.6,11.0
No,19.1,45.0
No,17.5,65.0
Yes,27.1,78.0
No,42.7,6.0
No,22.1,28.0
No,27.9,25.0
Yes,18.5,72.0
No,34.7,12.0
No,16.3,59.0
No,24.3,42.0
No,15.8,71.0
No,18.5,40.0
No,22.3,34.0
No,8.4,79.0
Yes,12.6,58.0
No,32.3,29.0
No,20.7,47.0
No,32.4,48.0
Yes,19.0,76.0
No,21.9,51.0
No,32.6,19.0
No,24.1,63.0
Yes,10.9,92.0
No,26.9,24.0
Yes,30.6,67.0
No,19.3,30.0
No,20.9,31.0
No,27.0,45.0
Yes,24.8,94.0
Yes,18.4,63.0
No,19.8,53.0
No,24.2,69.0
No,31.4,33.0
No,15.9,25.0
No,27.0,64.0
No,28.9,47.0
Yes,16.0,72.0
Yes,13.1,85.0
No,29.2,53.0
No,16.7,81.0
No,22.1,50.0
No,16.2,57.0
Yes,23.1,55.0
No,26.6,88.0
No,21.7,42.0
No,14.9,49.0
Yes,24.8,71.0
No,37.7,24.0
No,21.5,29.0
No,23.8,50.0
No,21.4,59.0
No,16.9,77.0
No,19.4,53.0
Yes,17.0,85.0
No,28.0,51.0
Yes,13.9,63.0
No,19.6,46.0
No,35.7,26.0
No,26.6,67.0
Yes,15.8,71.0
No,31.8,64.0
Yes,20.6,79.0
No,25.7,33.0
No,25.3,9.0
No,33.9,47.0
No,15.6,69.0
Yes,14.0,89.0
Yes,28.0,96.0
No,28.8,78.0
No,20.8,46.0
No,21.4,23.0
No,34.2,41.0
Yes,16.5,62.0
Yes,19.6,100.0
No,24.4,80.0
No,17.9,52.0
Yes,17.9,59.0
Yes,18.6,79.0
No,20.5,36.0
No,23.5,45.0
Yes,11.2,94.0
No,24.2,15.0
No,13.0,53.0
Yes,14.4,53.0
No,25.3,68.0
No,28.1,47.0
No,30.5,59.0
Yes,33.3,60.0
No,15.8,64.0
No,20.9,31.0
No,34.5,11.0
No,22.8,35.0
Yes,30.5,68.0
No,35.6,20.0
No,17.0,44.0
No,33.7,17.0
No,22.1,33.0
No,39.1,17.0
No,31.2,48.0
Yes,21.5,53.0
No,41.6,9.0
No,31.4,61.0
No,30.6,51.0
No,21.1,27.0
No,29.3,19.0
No,15.9,47.0
No,16.1,56.0
Yes,22.0,72.0
No,24.0,25.0
Yes,21.9,74.0
No,23.8,48.0
No,19.9,63.0
No,23.8,32.0
No,18.2,46.0
No,11.8,53.0
Yes,15.9,88.0
No,18.1,66.0
No,35.7,30.0
No,16.9,28.0
No,30.7,22.0
No,16.4,52.0
No,29.3,26.0
No,15.9,54.0
No,36.5,16.0
No,27.1,43.0
No,23.4,71.0
No,17.0,66.0
No,40.1,8.0
No,27.4,61.0
No,20.4,45.0
No,11.9,59.0
No,28.2,28.0
No,27.6,53.0
No,18.7,38.0
No,26.0,60.0
No,29.5,56.0
Yes,21.2,87.0
No,20.3,36.0
No,27.1,41.0
Yes,20.9,65.0
Yes,23.1,52.0
No,22.9,57.0
No,31.9,48.0
No,39.2,20.0
Yes,26.2,88.0
No,21.9,43.0
Yes,12.6,87.0
No,20.4,58.0
No,16.0,39.0
No,20.3,48.0
No,26.6,24.0
No,30.9,28.0
Yes,34.2,61.0
No,28.1,10.0
No,19.8,53.0
No,28.7,28.0
Yes,12.9,77.0
No,24.6,15.0
No,25.7,77.0
Yes,30.2,62.0
No,36.2,47.0
No,21.3,49.0
No,25.2,57.0
No,20.3,43.0
No,29.0,31.0
No,18.7,62.0
No,22.2,23.0
Yes,17.5,62.0
Yes,13.1,74.0
No,20.7,33.0
No,13.9,85.0
Yes,15.9,99.0
No,29.2,14.0
No,37.9,26.0
No,16.2,55.0
No,25.2,30.0
No,38.7,9.0
Yes,24.1,59.0
